website|weeknumber|activity_level_label|url|season|statename|activity_level|weekend
Influenza Information|35|Insufficient Data|http://doh.sd.gov/diseases/infectious/flu/default.aspx|2011-12|South Dakota|0|Sep-01-2012
Influenza Update|35|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Sep-01-2012
Influenza|35|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Sep-01-2012
Influenza Surveillance|36|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Sep-08-2012
Weekly Influenza Surveillance Reports|36|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Sep-08-2012
Influenza Information|36|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Sep-08-2012
Communicable Disease and Immunizations|36|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Sep-08-2012
Influenza Update|36|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Sep-08-2012
Influenza|36|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Sep-08-2012
Communicable Disease and Immunizations|37|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Sep-15-2012
Weekly Influenza Surveillance Reports|37|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Sep-15-2012
Influenza Information|37|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Sep-15-2012
Influenza Surveillance|37|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Sep-15-2012
Influenza Update|37|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Sep-15-2012
Influenza|37|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Sep-15-2012
Weekly Influenza Surveillance Reports|38|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Sep-22-2012
Influenza Information|38|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Sep-22-2012
Communicable Disease and Immunizations|38|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Sep-22-2012
Influenza Update|38|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Sep-22-2012
Influenza|38|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Sep-22-2012
Communicable Disease and Immunizations|39|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Sep-29-2012
Weekly Influenza Surveillance Reports|39|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Sep-29-2012
Influenza Information|39|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Sep-29-2012
Influenza|39|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Sep-29-2012
Influenza Update|39|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Sep-29-2012
Influenza Information|40|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Oct-06-2012
Influenza|40|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Oct-06-2012
Influenza Information|41|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Oct-13-2012
Influenza|41|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Oct-13-2012
Influenza Information|42|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Oct-20-2012
Influenza|42|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Oct-20-2012
Influenza Information|43|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Oct-27-2012
Influenza|43|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Oct-27-2012
Influenza Information|44|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Nov-03-2012
Influenza|44|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Nov-03-2012
Influenza Information|45|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Nov-10-2012
Influenza|45|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Nov-10-2012
Influenza Information|46|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Nov-17-2012
Influenza|46|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Nov-17-2012
Influenza Information|47|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Nov-24-2012
Influenza|47|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Nov-24-2012
Influenza Information|48|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Dec-01-2012
Influenza|48|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Dec-01-2012
Influenza Information|49|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Dec-08-2012
Influenza|49|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Dec-08-2012
Influenza Information|50|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Dec-15-2012
Influenza|50|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Dec-15-2012
Influenza Information|51|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Dec-22-2012
Influenza|51|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Dec-22-2012
Influenza Information|52|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Dec-29-2012
Influenza|52|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Dec-29-2012
Influenza|1|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jan-05-2013
Influenza|2|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jan-12-2013
Influenza|3|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jan-19-2013
Influenza|4|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jan-26-2013
Influenza|5|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Feb-02-2013
Influenza|6|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Feb-09-2013
Influenza|7|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Feb-16-2013
Influenza|8|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Feb-23-2013
Influenza|9|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Mar-02-2013
Influenza|10|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Mar-09-2013
Influenza|11|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Mar-16-2013
Influenza|12|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Mar-23-2013
Influenza|13|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Mar-30-2013
Influenza Information|15|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Apr-13-2013
Influenza|14|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Apr-06-2013
Influenza|15|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Apr-13-2013
Influenza Information|16|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Apr-20-2013
Influenza|16|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Apr-20-2013
Influenza Information|17|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Apr-27-2013
Influenza Information|18|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|May-04-2013
Influenza|17|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Apr-27-2013
Influenza|18|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|May-04-2013
Influenza Information|19|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|May-11-2013
Weekly Influenza Surveillance Reports|21|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|May-25-2013
Influenza Information|21|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|May-25-2013
Influenza|19|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|May-11-2013
Influenza|20|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|May-18-2013
Influenza Information|20|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|May-18-2013
Influenza|21|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|May-25-2013
Weekly Influenza Surveillance Reports|22|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jun-01-2013
Influenza Information|22|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jun-01-2013
Influenza|22|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jun-01-2013
Flu Statistics|23|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Jun-08-2013
Weekly Influenza Surveillance Reports|23|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jun-08-2013
Influenza Information|23|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jun-08-2013
Influenza|23|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jun-08-2013
Influenza - Flu|23|Insufficient Data|http://chfs.ky.gov/dph/epi/Influenza.htm|2012-13|Kentucky|0|Jun-08-2013
Flu Statistics|24|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Jun-15-2013
Weekly Influenza Surveillance Reports|24|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jun-15-2013
Influenza Information|24|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jun-15-2013
Influenza|24|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jun-15-2013
Flu Statistics|25|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Jun-22-2013
Weekly Influenza Surveillance Reports|25|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jun-22-2013
Influenza Information|25|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jun-22-2013
Influenza - Flu|25|Insufficient Data|http://chfs.ky.gov/dph/epi/Influenza.htm|2012-13|Kentucky|0|Jun-22-2013
Influenza|25|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jun-22-2013
Flu Statistics|26|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Jun-29-2013
Weekly Influenza Surveillance Reports|26|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jun-29-2013
Influenza Information|26|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jun-29-2013
Flu Statistics|27|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Jul-06-2013
Weekly Influenza Surveillance Reports|27|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jul-06-2013
Influenza Information|27|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jul-06-2013
Flu Statistics|28|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Jul-13-2013
Weekly Influenza Surveillance Reports|28|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jul-13-2013
Influenza Information|28|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jul-13-2013
Influenza|26|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jun-29-2013
Influenza|27|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jul-06-2013
Influenza|28|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jul-13-2013
Flu Statistics|29|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Jul-20-2013
Weekly Influenza Surveillance Reports|29|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jul-20-2013
Influenza Information|29|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jul-20-2013
Flu Statistics|30|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Jul-27-2013
Weekly Influenza Surveillance Reports|30|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Jul-27-2013
Influenza Information|30|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Jul-27-2013
Influenza|29|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jul-20-2013
Influenza|30|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Jul-27-2013
Flu Statistics|31|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Aug-03-2013
Weekly Influenza Surveillance Reports|31|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Aug-03-2013
Influenza Information|31|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Aug-03-2013
Influenza|31|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Aug-03-2013
Flu Statistics|32|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Aug-10-2013
Weekly Influenza Surveillance Reports|32|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Aug-10-2013
Influenza Information|32|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Aug-10-2013
Iowa Influenza Surveillance Network|32|Insufficient Data|http://idph.iowa.gov/influenza/surveillance|2012-13|Iowa|0|Aug-10-2013
Influenza|32|Insufficient Data|http://www.ndflu.com/default.aspx|2012-13|North Dakota|0|Aug-10-2013
Influenza - Flu|29|Insufficient Data|http://chfs.ky.gov/dph/epi/Influenza.htm|2012-13|Kentucky|0|Jul-20-2013
Influenza Information|25|Insufficient Data|http://doh.sd.gov/diseases/infectious/flu/default.aspx|2012-13|South Dakota|0|Jun-22-2013
Influenza|32|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Aug-10-2013
Influenza - Flu|33|Insufficient Data|http://chfs.ky.gov/dph/epi/Influenza.htm|2012-13|Kentucky|0|Aug-17-2013
Influenza|33|Insufficient Data|http://www.ndflu.com/default.aspx|2012-13|North Dakota|0|Aug-17-2013
Flu Statistics|33|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Aug-17-2013
Weekly Influenza Surveillance Reports|33|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Aug-17-2013
Influenza Information|33|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Aug-17-2013
Influenza|33|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Aug-17-2013
Influenza - Flu|34|Insufficient Data|http://chfs.ky.gov/dph/epi/Influenza.htm|2012-13|Kentucky|0|Aug-24-2013
Influenza|34|Insufficient Data|http://www.ndflu.com/default.aspx|2012-13|North Dakota|0|Aug-24-2013
Flu Statistics|34|Insufficient Data|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|2012-13|Connecticut|0|Aug-24-2013
Weekly Influenza Surveillance Reports|34|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2012-13|Delaware|0|Aug-24-2013
Influenza Information|34|Insufficient Data|http://doh.dc.gov/page/influenza-season|2012-13|District of Columbia|0|Aug-24-2013
Iowa Influenza Surveillance Network|33|Insufficient Data|http://idph.iowa.gov/influenza/surveillance|2012-13|Iowa|0|Aug-17-2013
Iowa Influenza Surveillance Network|34|Insufficient Data|http://idph.iowa.gov/influenza/surveillance|2012-13|Iowa|0|Aug-24-2013
Influenza|34|Insufficient Data|http://doh.vi.gov/|2012-13|Virgin Islands|0|Aug-24-2013
Influenza - Flu|35|Insufficient Data|http://chfs.ky.gov/dph/epi/Influenza.htm|2012-13|Kentucky|0|Aug-31-2013
Influenza|35|Insufficient Data|http://www.ndflu.com/default.aspx|2012-13|North Dakota|0|Aug-31-2013
